,variant_name,len_Data,variant
0,varinat_0,33673,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
1,varinat_1,22373,"('NEW',)"
2,varinat_2,20902,"('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
3,varinat_3,4813,"('NEW', 'DELETE')"
4,varinat_4,3508,"('NEW', 'FIN')"
5,varinat_5,2121,"('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
6,varinat_6,1555,"('NEW', 'CHANGE DIAGN', 'DELETE')"
7,varinat_7,977,"('NEW', 'FIN', 'RELEASE', 'CODE NOK', 'BILLED')"
8,varinat_8,869,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
9,varinat_9,512,"('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'CODE OK')"
10,varinat_10,400,"('NEW', 'FIN', 'RELEASE', 'CODE NOK', 'EMPTY')"
11,varinat_11,359,"('NEW', 'FIN', 'RELEASE', 'BILLED')"
12,varinat_12,314,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'REJECT', 'BILLED')"
13,varinat_13,273,"('NEW', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
14,varinat_14,272,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'REJECT', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
15,varinat_15,256,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'BILLED')"
16,varinat_16,230,"('NEW', 'FIN', 'RELEASE', 'CODE NOK', 'SET STATUS')"
17,varinat_17,229,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'DELETE')"
18,varinat_18,214,"('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'BILLED')"
19,varinat_19,206,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE NOK', 'CODE OK', 'BILLED')"
20,varinat_20,204,"('NEW', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'DELETE')"
21,varinat_21,176,"('NEW', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'DELETE')"
22,varinat_22,166,"('NEW', 'FIN', 'DELETE')"
23,varinat_23,165,"('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'REJECT', 'REOPEN', 'DELETE')"
24,varinat_24,162,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'CODE OK')"
25,varinat_25,160,"('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
26,varinat_26,140,"('NEW', 'FIN', 'RELEASE', 'CODE OK', 'CODE OK', 'BILLED')"
27,varinat_27,131,"('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'REJECT', 'BILLED')"
28,varinat_28,125,"('NEW', 'FIN', 'RELEASE', 'DELETE')"
29,varinat_29,110,"('NEW', 'FIN', 'RELEASE', 'CODE OK', 'RELEASE', 'CODE OK', 'BILLED')"
30,varinat_30,104,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'BILLED', 'STORNO', 'BILLED')"
31,varinat_31,98,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
32,varinat_32,97,"('NEW', 'FIN', 'RELEASE', 'CODE NOK', 'CODE OK', 'BILLED')"
33,varinat_33,91,"('NEW', 'FIN', 'RELEASE')"
34,varinat_34,91,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'REJECT', 'RELEASE', 'CODE OK', 'BILLED')"
